Ecosys;Types;Metric;μ;∑;x;σX;%;T1;T2;T3;T4
nWilcox;T1;Hun.;4.405;3418;3;7;0.5;n.a;✓ (< 0.05);✕ (0.13);✓ (< 0.05)
nWilcox;T1;Chur.;5.089;3949;2;12.5;0.3;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
nWilcox;T2;Dup.;0.067;16;0;0.3;0.6;✕ (0.39);n.a;✕ (0.73);✕ (0.39)
nWilcox;T2;Tim.;111.9;26856;16;308.6;0.9;✓ (< 0.05);n.a;✓ (< 0.05);✕ (0.41)
nWilcox;T2;Com.;4.433;1064;3;4;0.7;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
nWilcox;T2;Reo.;0.079;19;0;0.3;0.9;✕ (0.1);n.a;✕ (0.11);✕ (0.97)
nWilcox;T2;Fil.;8.804;2113;2;42.7;1.3;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
nWilcox;T2;Sev.;4.362;1047;3;1.5;1;✕ (0.66);n.a;✓ (< 0.05);✓ (< 0.05)
nWilcox;T2;Cha.;1.075;258;1;0.3;0.6;✕ (0.99);n.a;✕ (0.5);✓ (< 0.05)
nWilcox;T2;Hun.;21.887;5253;8;62.7;0.7;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
nWilcox;T2;Chur.;32.263;7743;8;125.8;0.7;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
nWilcox;T3;Dup.;0.074;620;0;0.4;23.3;✕ (0.24);✕ (0.73);n.a;✓ (< 0.05)
nWilcox;T3;Tim.;87.033;728642;9;233.6;23.8;✕ (0.15);✓ (< 0.05);n.a;✓ (< 0.05)
nWilcox;T3;Com.;4.73;39599;3;4.3;26.5;✕ (0.83);✓ (< 0.05);n.a;✓ (< 0.05)
nWilcox;T3;Reo.;0.06;499;0;0.3;22.7;✕ (0.58);✕ (0.11);n.a;✓ (< 0.05)
nWilcox;T3;Fil.;1.306;10932;1;5.1;6.8;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
nWilcox;T3;Sev.;4.021;33666;3;1.4;31.4;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
nWilcox;T3;Cha.;1.065;8917;1;0.3;21;✕ (0.26);✕ (0.5);n.a;✓ (< 0.05)
nWilcox;T3;Hun.;5.15;43115;3;12.4;5.8;✕ (0.13);✓ (< 0.05);n.a;✓ (< 0.05)
nWilcox;T3;Chur.;6.727;56317;2;22;4.9;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
nWilcox;T4;Dup.;0.113;1959;0;0.7;73.6;✕ (0.86);✕ (0.39);✓ (< 0.05);n.a
nWilcox;T4;Tim.;128.833;2237319;13;332.8;73;✓ (< 0.05);✕ (0.41);✓ (< 0.05);n.a
nWilcox;T4;Com.;6.058;105202;4;6.7;70.4;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
nWilcox;T4;Reo.;0.094;1639;0;0.4;74.5;✓ (< 0.05);✕ (0.97);✓ (< 0.05);n.a
nWilcox;T4;Fil.;8.408;146019;4;25.1;91;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
nWilcox;T4;Sev.;3.982;69159;3;1.4;64.5;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
nWilcox;T4;Cha.;1.871;32494;2;1.2;76.4;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
nWilcox;T4;Hun.;40.195;698022;13;98.3;93.1;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
nWilcox;T4;Chur.;61.893;1074830;15;178.6;94;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
allWilcox;T1;Dup.;0.043;118;0;0.3;3.9;n.a;✕ (0.09);✕ (0.16);✓ (< 0.05)
allWilcox;T1;Tim.;91.909;252198;6;250.6;6.5;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
