INTERNAL_ID,EXTERNAL_ID,ID_PROJECT,CREATION_DATE,OS_IMPACTED,PLATEFORM_IMPACTED,SEVERITY,REPORTER_ID,ASSIGNEE_ID,FIXING_TIME,COMMENTS,REOPENNED,DUPLICATE_BY,FILES_IMPACTED,CHANGESET_REQUIRED,TYPE,DATASET_ID,VERSION,HUNKS,CHURNS
277661,bug_apache_MESOS-153,68,"2012-02-12 05:19:36",0,0,6,28391,28391,0,8,0,0,0,2,2,1,0,6,4
277791,bug_apache_QPID-5436,85,"2013-12-19 21:24:32",0,0,4,29080,29080,3,3,0,0,2,2,2,1,0,18,12
277817,bug_apache_CAMEL-7087,114,"2013-12-20 00:16:45",0,0,4,27875,31122,0,2,0,0,3,3,2,1,0,12,186
277879,bug_apache_CB-3927,71,"2013-06-18 20:36:05",0,0,4,27653,31139,5,13,0,0,5,5,2,1,0,115,240
277881,bug_apache_ACCUMULO-1523,69,"2013-06-18 21:33:25",0,0,1,27933,27926,92,5,0,0,2,2,2,1,0,10,16
277946,bug_apache_STANBOL-1118,166,"2013-06-20 00:37:27",0,0,4,27517,31154,119,4,1,0,3,3,2,1,0,15,246
277985,bug_apache_FOP-2183,124,"2013-01-11 15:41:56",0,0,4,27517,28648,41,1,0,0,1,4,2,1,0,18,64
278002,bug_apache_HDFS-4391,98,"2013-01-12 01:32:30",0,0,4,28658,28659,58,12,0,0,2,2,2,1,0,8,8
278025,bug_apache_WICKET-4975,88,"2013-01-14 18:45:10",0,0,2,27705,28670,3,12,0,0,2,2,2,1,0,18,348
278183,bug_apache_TWILL-47,233,"2014-02-13 22:43:33",0,0,4,28267,28267,3,2,0,0,2,2,2,1,0,8,16
278236,bug_apache_CAMEL-7209,114,"2014-02-15 14:01:44",0,0,4,27593,31175,1,1,0,0,2,2,2,1,0,8,34
278296,bug_apache_AXIS2-5319,111,"2012-05-11 00:43:50",0,0,4,27517,31198,11,3,0,0,2,2,2,1,0,4,8
278309,bug_apache_TRINIDAD-2267,95,"2012-05-11 20:36:24",0,0,2,27517,30402,5,0,0,0,3,3,2,1,0,18,24
278340,bug_apache_OODT-457,90,"2012-05-14 18:52:55",0,0,4,30892,30892,2,3,0,0,22,22,2,1,0,110,660
278371,bug_apache_AMBARI-252,44,"2012-05-15 21:27:32",0,0,4,31189,31189,1,2,0,0,27,27,2,1,0,270,37638
278462,bug_apache_AXIS2-3376,111,"2007-11-29 22:05:49",0,0,4,28516,31250,3,6,0,0,3,8,2,1,0,155,2714
278514,bug_apache_XALANJ-910,146,"2002-03-18 23:09:50",0,0,0,27517,28799,898,8,0,0,3,3,2,1,0,24,312
278580,bug_apache_HARMONY-4215,139,"2007-06-18 13:14:34",0,0,4,28851,28852,214,28,0,0,0,6,2,1,0,84,258
278590,bug_apache_AXIS2-2820,111,"2007-06-19 15:02:30",0,0,6,27517,28057,2,3,0,0,2,2,2,1,0,10,208
278657,bug_apache_HARMONY-4284,139,"2007-06-26 00:06:24",0,0,4,28899,28900,0,1,0,0,2,2,2,1,0,4,6
278669,bug_apache_LUCENE-945,46,"2007-06-27 06:25:18",0,0,2,28907,28907,0,4,0,0,7,7,2,1,0,77,357
278675,bug_apache_SLING-3911,102,"2014-09-06 13:09:49",0,0,2,27773,31256,6,3,0,0,1,2,2,1,0,8,131
278676,bug_apache_THRIFT-2693,116,"2014-09-06 14:14:55",0,0,2,31257,3566,23,3,0,0,8,8,2,1,0,40,128
278721,bug_apache_MATH-1151,271,"2014-09-08 16:48:38",0,0,2,31264,31264,9,2,0,0,5,5,2,1,0,65,405
278736,bug_apache_DRILL-1390,51,"2014-09-08 22:39:26",0,0,4,29244,29244,3,4,0,0,1,3,2,1,0,11,30
278755,bug_apache_HADOOP-11077,50,"2014-09-09 01:13:38",0,0,4,29902,29902,1,7,0,0,2,2,2,1,0,8,40
278898,bug_apache_HDFS-1700,98,"2011-03-02 21:38:12",0,0,4,31279,31279,5,2,0,0,3,3,2,1,0,27,642
278905,bug_apache_LUCENE-2947,46,"2011-03-03 15:16:05",0,0,2,27517,31330,785,8,0,0,3,3,2,1,0,33,777
278955,bug_apache_ARIES-599,97,"2011-03-08 06:58:35",0,0,4,27728,29416,1,4,0,0,1,2,2,1,0,24,163
279038,bug_apache_AXISCPP-1026,205,"2007-03-05 14:26:49",0,0,5,27517,31384,5,10,0,0,2,2,2,1,0,10,122
279044,bug_apache_WICKET-364,88,"2007-03-06 15:01:31",0,0,4,28691,31387,7,4,0,0,3,3,2,1,0,18,126
279067,bug_apache_LUCENE-828,46,"2007-03-08 05:13:32",0,0,1,27517,31395,8,2,0,0,2,2,2,1,0,8,36
279080,bug_apache_AMQ-2681,77,"2010-03-31 16:31:22",0,0,6,27805,31402,36,5,1,0,1,4,2,1,0,25,205
279089,bug_apache_HARMONY-6491,139,"2010-04-01 06:07:05",0,0,2,29122,4181,0,3,0,0,1,2,2,1,0,6,4
279134,bug_apache_OPENJPA-1613,159,"2010-04-07 20:28:33",0,0,4,31427,31428,280,12,0,0,3,3,2,1,0,15,327
279143,bug_apache_QPID-2484,85,"2010-04-07 00:14:47",0,0,4,27553,27701,123,3,0,0,3,3,2,1,0,30,204
279311,bug_apache_AMBARI-1267,44,"2013-01-26 04:17:08",0,0,4,28325,28325,0,3,0,0,3,3,2,1,0,24,774
279364,bug_apache_AIRAVATA-752,182,"2013-01-29 20:31:26",0,0,4,28077,28077,41,2,0,0,2,2,2,1,0,12,882
279480,bug_apache_QPID-271,85,"2007-01-10 20:07:39",0,0,2,28097,28097,0,1,0,0,4,4,2,1,0,28,720
279485,bug_apache_QPID-273,85,"2007-01-10 08:24:59",0,0,2,28097,28097,0,1,0,0,2,2,2,1,0,18,626
