INTERNAL_ID,EXTERNAL_ID,ID_PROJECT,CREATION_DATE,OS_IMPACTED,PLATEFORM_IMPACTED,SEVERITY,REPORTER_ID,ASSIGNEE_ID,FIXING_TIME,COMMENTS,REOPENNED,DUPLICATE_BY,FILES_IMPACTED,CHANGESET_REQUIRED,TYPE,DATASET_ID,VERSION,HUNKS,CHURNS
397,bug_netbeans_198478,31,"2011-05-10 13:34:00",All,All,3,170,2,2,3,0,0,2,1,2,0,7.0.1,6,5
1311,bug_netbeans_223107,13,"2012-12-01 20:22:00",All,All,3,1,8,2,2,0,0,3,1,2,0,7.3,44,55
1406,bug_netbeans_192541,27,"2010-11-26 17:15:00","Mac OS X",PC,3,181,103,8,2,0,0,3,1,2,0,7.0,15,0
1532,bug_netbeans_216719,18,"2012-08-12 13:21:00",Linux,PC,3,114,8,8,2,0,0,12,1,2,0,7.3,39,46
1757,bug_netbeans_172578,10,"2009-09-18 15:52:00",All,All,6,59,615,52,9,1,0,3,1,2,0,6.x,3,2
1852,bug_netbeans_207289,1,"2012-01-13 17:16:00",All,All,3,1,148,122,3,0,0,3,1,2,0,7.2,4,1
2689,bug_netbeans_141453,20,"2008-07-24 01:56:00",All,All,6,63,71,21,3,0,0,2,1,2,0,TBD,5,0
3561,bug_netbeans_137361,19,"2008-06-16 21:14:00",All,All,6,283,29,53,7,0,0,7,2,2,0,6.x,6,13
4573,bug_netbeans_204251,31,"2011-10-26 07:06:00",Linux,PC,3,170,116,3,6,1,0,13,1,2,0,7.1,74,44
4754,bug_netbeans_184837,9,"2010-04-23 00:09:00",All,All,3,89,103,11,2,0,0,3,2,2,0,6.x,21,4
4960,bug_netbeans_148333,29,"2008-09-25 11:35:00",All,All,6,1221,1222,141,4,0,0,2,1,2,0,TBD,7,1
5149,bug_netbeans_116662,1,"2007-09-25 00:42:00",All,All,6,792,409,268,4,0,0,5,1,2,0,6.x,34,4
5184,bug_netbeans_129073,20,"2008-03-04 03:23:00","Windows XP",All,6,792,398,108,3,0,0,2,1,2,0,6.x,23,12
5190,bug_netbeans_135431,20,"2008-05-20 15:35:00","Mac OS X",Macintosh,6,178,864,31,7,0,0,2,1,2,0,6.x,7,3
5795,bug_netbeans_233204,3,"2013-07-22 18:05:00","Windows 7",PC,3,9,8,252,4,0,0,2,1,2,0,8.0.1,3,0
5805,bug_netbeans_121279,4,"2007-11-06 00:17:00",All,All,6,294,1359,287,27,1,0,2,1,2,0,6.x,3,5
5850,bug_netbeans_157137,24,"2009-01-20 14:13:00",All,All,6,77,11,86,1,0,0,3,1,2,0,6.x,4,1
6001,bug_netbeans_218764,8,"2012-09-21 00:48:00","Windows 7",PC,3,41,39,154,1,0,0,3,1,2,0,7.4,22,15
6118,bug_netbeans_158256,28,"2009-02-10 08:47:00",All,All,6,170,1405,54,8,0,0,2,1,2,0,6.x,10,28
6119,bug_netbeans_158257,28,"2009-02-10 08:48:00",All,All,6,170,1405,53,5,0,0,2,1,2,0,6.x,3,2
6588,bug_netbeans_238556,6,"2013-11-19 14:00:00",All,All,3,11,148,1,1,0,0,3,1,2,0,8.0,11,4
6817,bug_netbeans_205194,15,"2011-11-16 13:16:00","Windows Vista",PC,3,44,8,5,3,0,0,2,1,2,0,7.2,4,3
6956,bug_netbeans_138570,31,"2008-06-30 07:01:00",All,All,6,247,678,17,4,0,0,2,1,2,0,6.x,4,5
6978,bug_netbeans_139073,35,"2008-07-05 08:41:00",All,Macintosh,6,704,1494,13,2,0,0,2,1,2,0,6.x,4,0
7121,bug_netbeans_228224,13,"2013-04-03 22:52:00","Windows 7",PC,3,69,202,99,3,0,0,3,1,2,0,7.4,10,13
7495,bug_netbeans_211153,19,"2012-04-13 11:15:00","Mac OS X",PC,3,8,49,7,1,0,0,2,1,2,0,TBD,7,2
7497,bug_netbeans_210792,6,"2012-04-06 04:47:00",All,All,3,72,890,6,4,0,0,2,1,2,0,7.2,15,19
7664,bug_netbeans_201043,9,"2011-08-17 15:15:00",Linux,PC,3,10,10,86,7,1,0,2,1,2,0,7.1,7,13
7928,bug_netbeans_244966,15,"2014-06-09 21:16:00","Windows 7",PC,3,44,8,25,4,0,0,2,1,2,0,8.0.1,3,1
7955,bug_netbeans_244244,13,"2014-05-02 09:03:00",All,All,3,143,8,67,4,1,0,2,1,2,0,8.0.1,17,13
