INTERNAL_ID,EXTERNAL_ID,ID_PROJECT,CREATION_DATE,OS_IMPACTED,PLATEFORM_IMPACTED,SEVERITY,REPORTER_ID,ASSIGNEE_ID,FIXING_TIME,COMMENTS,REOPENNED,DUPLICATE_BY,FILES_IMPACTED,CHANGESET_REQUIRED,TYPE,DATASET_ID,VERSION,HUNKS,CHURNS
13,bug_netbeans_242116,3,"2014-02-19 19:16:00",All,All,3,3,10,1,3,0,0,1,1,1,0,8.0.1,2,3
91,bug_netbeans_242797,20,"2014-03-11 14:59:00","Windows 7",PC,3,51,27,9,3,0,0,3,1,1,0,TBD,4,12
123,bug_netbeans_122791,21,"2007-11-26 16:20:00",All,All,6,74,75,466,6,0,0,1,1,1,0,6.x,5,6
346,bug_netbeans_192529,15,"2010-11-26 14:28:00",All,All,3,182,183,161,8,0,0,1,1,1,0,7.0.1,3,2
377,bug_netbeans_198419,15,"2011-05-07 23:26:00",All,All,3,22,35,2,4,0,0,1,1,1,0,7.0.1,7,5
743,bug_netbeans_245842,3,"2014-07-21 11:36:00","Windows 7",PC,3,3,13,32,4,0,0,1,1,1,0,Dev,10,12
745,bug_netbeans_246570,3,"2014-08-20 09:40:00","Windows 7",PC,3,3,13,2,2,0,0,1,1,1,0,Dev,2,5
779,bug_netbeans_246759,11,"2014-08-28 17:56:00",All,All,3,18,18,1,3,0,0,1,1,1,0,Dev,3,1
1094,bug_netbeans_243327,6,"2014-03-27 14:37:00",Linux,PC,3,138,8,14,8,0,0,1,1,1,0,TBD,4,3
1266,bug_netbeans_198931,38,"2011-05-26 20:19:00","Windows XP",PC,3,195,8,99,2,0,0,2,1,1,0,7.1,11,10
1273,bug_netbeans_193305,7,"2010-12-12 19:03:00",All,All,3,39,8,264,5,0,0,1,1,1,0,7.1,5,3
1335,bug_netbeans_169701,22,"2009-08-03 06:28:00","Windows XP",PC,6,223,512,1219,8,0,0,1,1,1,0,7.3,7,3
1361,bug_netbeans_221976,8,"2012-11-12 15:19:00",All,All,3,14,14,23,2,0,0,1,1,1,0,TBD,9,13
1746,bug_netbeans_177560,16,"2009-11-25 01:26:00",Linux,Other,3,30,22,1,4,0,0,4,3,1,0,6.x,6,18
1861,bug_netbeans_212465,1,"2012-05-14 00:12:00",All,All,3,1,1,1,3,0,0,1,1,1,0,7.2,2,4
1884,bug_netbeans_208833,19,"2012-02-24 15:41:00",Linux,PC,3,8,154,82,4,0,0,2,1,1,0,TBD,14,5
1899,bug_netbeans_212265,35,"2012-05-10 00:39:00",All,All,3,3,639,6,6,0,0,1,1,1,0,TBD,2,3
1908,bug_netbeans_220857,13,"2012-10-25 15:21:00",All,All,3,143,143,40,4,0,0,3,2,1,0,7.3,3,3
